id,title,vote_average,vote_count,popularity,year,month,day
238215,The Cobbler,StandardScaler(),StandardScaler(),StandardScaler(),2014,9,11
50022,Super Troopers 2,StandardScaler(),StandardScaler(),StandardScaler(),2018,4,19
14161,2012,StandardScaler(),StandardScaler(),StandardScaler(),2009,10,10
11870,Big Fat Liar,StandardScaler(),StandardScaler(),StandardScaler(),2002,2,8
418078,It Comes at Night,StandardScaler(),StandardScaler(),StandardScaler(),2017,6,9
36648,Blade: Trinity,StandardScaler(),StandardScaler(),StandardScaler(),2004,12,8
206296,The Last Five Years,StandardScaler(),StandardScaler(),StandardScaler(),2014,11,3
81005,Jack the Giant Slayer,StandardScaler(),StandardScaler(),StandardScaler(),2013,2,27
79697,Butter,StandardScaler(),StandardScaler(),StandardScaler(),2012,10,5
3682,54,StandardScaler(),StandardScaler(),StandardScaler(),1998,8,28
862551,Me Time,StandardScaler(),StandardScaler(),StandardScaler(),2022,8,26
461053,S.W.A.T.: Under Siege,StandardScaler(),StandardScaler(),StandardScaler(),2017,8,1
227783,The Nut Job,StandardScaler(),StandardScaler(),StandardScaler(),2014,1,17
643550,Nocturne,StandardScaler(),StandardScaler(),StandardScaler(),2020,10,13
438650,Cold Pursuit,StandardScaler(),StandardScaler(),StandardScaler(),2019,2,7
156717,Death Race: Inferno,StandardScaler(),StandardScaler(),StandardScaler(),2013,1,4
13555,The Funhouse,StandardScaler(),StandardScaler(),StandardScaler(),1981,3,13
437626,Stockholm,StandardScaler(),StandardScaler(),StandardScaler(),2019,4,12
12277,Undercover Brother,StandardScaler(),StandardScaler(),StandardScaler(),2002,5,31
12138,3000 Miles to Graceland,StandardScaler(),StandardScaler(),StandardScaler(),2001,2,23
11258,Hard Rain,StandardScaler(),StandardScaler(),StandardScaler(),1998,1,16
9396,Crocodile Dundee II,StandardScaler(),StandardScaler(),StandardScaler(),1988,5,19
509874,Lying and Stealing,StandardScaler(),StandardScaler(),StandardScaler(),2019,7,12
72207,The Five-Year Engagement,StandardScaler(),StandardScaler(),StandardScaler(),2012,4,27
45324,Casino Jack,StandardScaler(),StandardScaler(),StandardScaler(),2010,9,16
9988,Beerfest,StandardScaler(),StandardScaler(),StandardScaler(),2006,8,25
485942,Batman Ninja,StandardScaler(),StandardScaler(),StandardScaler(),2018,6,15
13690,Open Season 2,StandardScaler(),StandardScaler(),StandardScaler(),2008,9,24
10317,Our Brand Is Crisis,StandardScaler(),StandardScaler(),StandardScaler(),2015,9,11
615658,Awake,StandardScaler(),StandardScaler(),StandardScaler(),2021,6,9
109431,Identity Thief,StandardScaler(),StandardScaler(),StandardScaler(),2013,2,7
429460,Muse,StandardScaler(),StandardScaler(),StandardScaler(),2017,11,9
419522,Ignorance Is Bliss,StandardScaler(),StandardScaler(),StandardScaler(),2017,2,23
9070,Mighty Morphin Power Rangers: The Movie,StandardScaler(),StandardScaler(),StandardScaler(),1995,6,30
974453,Absolution,StandardScaler(),StandardScaler(),StandardScaler(),2024,10,31
780154,All My Friends Are Dead,StandardScaler(),StandardScaler(),StandardScaler(),2020,12,28
9678,Little Nicky,StandardScaler(),StandardScaler(),StandardScaler(),2000,11,10
547388,New Biz in the Hood,StandardScaler(),StandardScaler(),StandardScaler(),2019,2,27
93828,Welcome to the Punch,StandardScaler(),StandardScaler(),StandardScaler(),2013,3,15
9413,Picture Perfect,StandardScaler(),StandardScaler(),StandardScaler(),1997,8,1
315319,We Accept Miracles,StandardScaler(),StandardScaler(),StandardScaler(),2015,1,2
59965,Abduction,StandardScaler(),StandardScaler(),StandardScaler(),2011,9,22
49524,R.I.P.D.,StandardScaler(),StandardScaler(),StandardScaler(),2013,7,18
12596,Pushing Tin,StandardScaler(),StandardScaler(),StandardScaler(),1999,4,23
11517,Money Train,StandardScaler(),StandardScaler(),StandardScaler(),1995,11,21
157823,Night Moves,StandardScaler(),StandardScaler(),StandardScaler(),2014,4,23
27573,The Bounty Hunter,StandardScaler(),StandardScaler(),StandardScaler(),2010,3,16
12096,The Pink Panther,StandardScaler(),StandardScaler(),StandardScaler(),2006,2,10
11074,Striking Distance,StandardScaler(),StandardScaler(),StandardScaler(),1993,9,17
101173,Coriolanus,StandardScaler(),StandardScaler(),StandardScaler(),2011,2,14
14035,Meatballs,StandardScaler(),StandardScaler(),StandardScaler(),1979,6,28
4327,Charlie's Angels,StandardScaler(),StandardScaler(),StandardScaler(),2000,11,2
663866,Censor,StandardScaler(),StandardScaler(),StandardScaler(),2021,6,11
377275,In Bed with Victoria,StandardScaler(),StandardScaler(),StandardScaler(),2016,9,14
348060,Antigang,StandardScaler(),StandardScaler(),StandardScaler(),2015,8,19
9482,Judge Dredd,StandardScaler(),StandardScaler(),StandardScaler(),1995,6,30
1691,Hostel: Part II,StandardScaler(),StandardScaler(),StandardScaler(),2007,6,7
44982,13,StandardScaler(),StandardScaler(),StandardScaler(),2010,3,12
15379,Missing in Action,StandardScaler(),StandardScaler(),StandardScaler(),1984,11,16
3512,Under Siege 2: Dark Territory,StandardScaler(),StandardScaler(),StandardScaler(),1995,7,13
1079485,Winnie-the-Pooh: Blood and Honey 2,StandardScaler(),StandardScaler(),StandardScaler(),2024,3,26
270010,A Hologram for the King,StandardScaler(),StandardScaler(),StandardScaler(),2016,4,22
74777,Absentia,StandardScaler(),StandardScaler(),StandardScaler(),2011,3,3
10379,Drop Dead Fred,StandardScaler(),StandardScaler(),StandardScaler(),1991,4,19
8836,The X Files: I Want to Believe,StandardScaler(),StandardScaler(),StandardScaler(),2008,7,24
277547,Playing It Cool,StandardScaler(),StandardScaler(),StandardScaler(),2014,9,26
24418,Cirque du Freak: The Vampire's Assistant,StandardScaler(),StandardScaler(),StandardScaler(),2009,10,23
521935,Cam,StandardScaler(),StandardScaler(),StandardScaler(),2018,10,1
440708,Mom or Dad?,StandardScaler(),StandardScaler(),StandardScaler(),2017,2,14
192149,The Two Faces of January,StandardScaler(),StandardScaler(),StandardScaler(),2014,5,16
69778,A Good Old Fashioned Orgy,StandardScaler(),StandardScaler(),StandardScaler(),2011,9,2
768334,A Classic Horror Story,StandardScaler(),StandardScaler(),StandardScaler(),2021,7,1
5375,Fred Claus,StandardScaler(),StandardScaler(),StandardScaler(),2007,11,9
393345,Cult of Chucky,StandardScaler(),StandardScaler(),StandardScaler(),2017,10,12
71679,Resident Evil: Retribution,StandardScaler(),StandardScaler(),StandardScaler(),2012,9,12
4442,The Brothers Grimm,StandardScaler(),StandardScaler(),StandardScaler(),2005,8,26
114478,Starship Troopers: Invasion,StandardScaler(),StandardScaler(),StandardScaler(),2012,8,28
25643,Love Happens,StandardScaler(),StandardScaler(),StandardScaler(),2009,9,18
10172,Are We Done Yet?,StandardScaler(),StandardScaler(),StandardScaler(),2007,4,4
8849,Alfie,StandardScaler(),StandardScaler(),StandardScaler(),2004,10,22
621707,The Vigil,StandardScaler(),StandardScaler(),StandardScaler(),2020,7,1
527400,Come Away,StandardScaler(),StandardScaler(),StandardScaler(),2020,11,12
9957,The Benchwarmers,StandardScaler(),StandardScaler(),StandardScaler(),2006,4,7
693113,Midnight in the Switchgrass,StandardScaler(),StandardScaler(),StandardScaler(),2021,7,23
334538,Into the Forest,StandardScaler(),StandardScaler(),StandardScaler(),2016,6,3
291264,The Family Fang,StandardScaler(),StandardScaler(),StandardScaler(),2016,4,16
87567,The Big Wedding,StandardScaler(),StandardScaler(),StandardScaler(),2013,4,25
77953,The Campaign,StandardScaler(),StandardScaler(),StandardScaler(),2012,8,9
57331,Largo Winch II,StandardScaler(),StandardScaler(),StandardScaler(),2011,2,16
41171,Noel,StandardScaler(),StandardScaler(),StandardScaler(),2004,11,12
38321,Priest,StandardScaler(),StandardScaler(),StandardScaler(),2011,5,5
675327,Shadow in the Cloud,StandardScaler(),StandardScaler(),StandardScaler(),2021,1,1
192134,Dom Hemingway,StandardScaler(),StandardScaler(),StandardScaler(),2013,11,14
718840,A Nice Girl Like You,StandardScaler(),StandardScaler(),StandardScaler(),2020,7,18
335791,When the Bough Breaks,StandardScaler(),StandardScaler(),StandardScaler(),2016,9,9
811656,Monstrous,StandardScaler(),StandardScaler(),StandardScaler(),2022,5,13
28941,Chopping Mall,StandardScaler(),StandardScaler(),StandardScaler(),1986,11,14
11806,Beethoven,StandardScaler(),StandardScaler(),StandardScaler(),1992,4,3
772515,Huesera: The Bone Woman,StandardScaler(),StandardScaler(),StandardScaler(),2023,2,10
15019,I Could Never Be Your Woman,StandardScaler(),StandardScaler(),StandardScaler(),2007,5,11
432618,Coexister,StandardScaler(),StandardScaler(),StandardScaler(),2017,10,11
77987,Only God Forgives,StandardScaler(),StandardScaler(),StandardScaler(),2013,5,30
9754,Firewall,StandardScaler(),StandardScaler(),StandardScaler(),2006,2,8
9570,The Black Hole,StandardScaler(),StandardScaler(),StandardScaler(),1979,12,18
10596,Replicant,StandardScaler(),StandardScaler(),StandardScaler(),2001,5,11
557946,Last Looks,StandardScaler(),StandardScaler(),StandardScaler(),2022,1,27
487702,F the Prom,StandardScaler(),StandardScaler(),StandardScaler(),2017,12,5
342878,One Wild Moment,StandardScaler(),StandardScaler(),StandardScaler(),2015,6,24
9980,Maximum Overdrive,StandardScaler(),StandardScaler(),StandardScaler(),1986,7,13
539885,Ava,StandardScaler(),StandardScaler(),StandardScaler(),2020,7,2
284537,Welcome to Me,StandardScaler(),StandardScaler(),StandardScaler(),2015,5,1
107811,21 & Over,StandardScaler(),StandardScaler(),StandardScaler(),2013,3,1
14536,New in Town,StandardScaler(),StandardScaler(),StandardScaler(),2009,1,30
500922,A Score to Settle,StandardScaler(),StandardScaler(),StandardScaler(),2019,8,1
334394,Baskin,StandardScaler(),StandardScaler(),StandardScaler(),2015,12,31
150202,The Haunting in Connecticut 2: Ghosts of Georgia,StandardScaler(),StandardScaler(),StandardScaler(),2013,2,1
13056,Punisher: War Zone,StandardScaler(),StandardScaler(),StandardScaler(),2008,12,5
9600,Big Momma's House,StandardScaler(),StandardScaler(),StandardScaler(),2000,5,31
793723,Sentinelle,StandardScaler(),StandardScaler(),StandardScaler(),2021,3,5
517412,Tesla,StandardScaler(),StandardScaler(),StandardScaler(),2020,8,14
58547,10 Years,StandardScaler(),StandardScaler(),StandardScaler(),2012,9,14
19286,Leprechaun 3,StandardScaler(),StandardScaler(),StandardScaler(),1995,6,27
6477,Alvin and the Chipmunks,StandardScaler(),StandardScaler(),StandardScaler(),2007,12,13
190469,Redirected,StandardScaler(),StandardScaler(),StandardScaler(),2014,1,10
174751,Jane Got a Gun,StandardScaler(),StandardScaler(),StandardScaler(),2015,12,31
18457,Dead Weight,StandardScaler(),StandardScaler(),StandardScaler(),2002,4,10
12569,Extract,StandardScaler(),StandardScaler(),StandardScaler(),2009,9,3
6877,Failure to Launch,StandardScaler(),StandardScaler(),StandardScaler(),2006,3,10
353979,Pet,StandardScaler(),StandardScaler(),StandardScaler(),2016,9,24
244761,The Captive,StandardScaler(),StandardScaler(),StandardScaler(),2014,9,5
14223,Wind Chill,StandardScaler(),StandardScaler(),StandardScaler(),2007,4,27
10768,The Final Conflict,StandardScaler(),StandardScaler(),StandardScaler(),1981,3,20
